Player,Player.1,CM,KG,Apps,Mins,Total,OutOfBox,SixYardBox,PenaltyArea,Rating,OpenPlay,Counter,SetPiece,PenaltyTaken,OffTarget,OnPost,OnTarget,Blocked,PenaltyScored,Own,Normal,AccLB,InAccLB,AccSP,InAccSP,AccCr,InAccCr,AccCrn,InAccCrn,AccFrK,InAccFrK,Long,Short,Cross,Corner,Throughball,Freekick,Throwin,Other,Unsuccessful,Successful,Total Dribbles,UnsuccessfulTouches,Dispossessed,Won,Lost,TotalTackles,DribbledPast,TotalAttemptedTackles,Fouled,Fouls,CaughtOffside,ShotsBlocked,CrossesBlocked,PassesBlocked
"11Lucas Moura33, AM(CLR),FW","Lucas Moura 33, AM(CLR),FW",172,72,34,1729,1,0.4,0.1,0.5,6.81,0.8,-,0.2,-,0.4,-,0.4,0.2,-,-,0.1,0.3,0.3,15.4,4.5,0.2,0.7,-,-,0.1,-,0.1,0.9,0.1,-,0.1,-,-,0.8,1.1,1.6,2.6,1.8,0.9,1.4,0.9,0.7,0.8,1.5,1.1,0.6,0.1,-,-,0.6
"12Hugo Lloris38, GK","Hugo Lloris 38, GK",188,82,38,3375,-,-,-,-,6.79,-,-,-,-,-,-,-,-,-,-,-,4.2,4.6,11.7,0.2,-,-,-,-,0.6,0.6,0.1,-,-,-,-,-,-,0.1,-,-,-,0.1,-,0.4,0.1,-,-,0.1,0.1,-,-,-,-,-
"13Ben Davies32, D(CL),M(L)","Ben Davies 32, D(CL),M(L)",181,77,29,2540,0.6,0.3,0.1,0.2,6.77,0.3,-,0.2,-,0.2,-,0.2,0.2,-,-,-,1.6,2.7,44.8,5.5,0.2,0.5,-,-,1.2,-,0.1,0.3,0.1,-,-,-,-,0.3,0.1,0.2,0.4,0.8,0.3,2.3,1.8,1.2,0.4,1.7,0.6,1.1,0.2,0.7,0.1,0.4
"14Eric Dier31, D(CR),DMC","Eric Dier 31, D(CR),DMC",188,83,35,3027,0.3,0.1,0.1,0.1,6.77,-,-,0.3,-,0.1,-,0.1,0.1,-,-,-,3.7,3.8,53.9,3.9,-,-,-,-,1.4,0.1,0.1,0.1,-,-,0.1,-,-,0.1,-,-,0.1,0.1,0.1,1.9,1.5,0.4,0.2,0.6,0.3,0.3,-,0.9,-,0.1
"15Ryan Sessegnon25, D(L),M(LR)","Ryan Sessegnon 25, D(L),M(LR)",178,70,15,1054,0.4,-,-,0.4,6.68,0.3,-,0.1,-,0.2,-,0.1,0.1,-,-,-,0.4,1.1,16.1,3.9,0.5,2,0.1,-,0.1,-,0.1,0.9,0.4,-,-,-,-,0.5,0.9,0.4,1.3,2.2,0.8,0.7,1,1.7,0.7,2.4,0.5,1.3,0.3,0.2,0.3,1
"16Oliver Skipp25, DMC","Oliver Skipp 25, DMC",175,70,18,1304,0.2,0.2,-,-,6.57,0.2,-,-,-,0.1,-,0.1,0.1,-,-,-,1.1,1.1,38.6,3.4,0.1,0.2,-,-,0.7,-,-,0.4,0.1,-,0.1,-,-,0.3,0.1,0.2,0.3,0.8,0.7,0.7,0.6,1.8,0.9,2.7,0.9,0.9,0.1,0.4,0.1,0.7
"17Dele Alli29, M(CL),FW","Dele Alli 29, M(CL),FW",188,76,10,658,0.4,0.1,-,0.3,6.53,0.1,0.2,-,0.1,0.1,-,0.3,-,0.1,-,-,0.4,0.7,16.8,3.9,0.1,0.4,-,-,0.4,-,-,0.2,0.1,-,-,-,-,0.1,1.5,1.2,2.7,1.3,1.9,0.7,1.1,1.4,1.2,2.6,1.1,1.2,0.2,0.5,0.2,1.7
"18Japhet Tanganga26, D(CR)","Japhet Tanganga 26, D(CR)",184,76,11,740,0.6,0.2,0.2,0.3,6.52,0.3,-,0.4,-,0.2,-,0.2,0.3,-,-,-,0.8,1.4,25.6,3.6,0.2,0.8,-,-,0.5,-,-,0.2,-,-,-,-,-,0.2,0.2,0.5,0.6,0.6,0.5,1.4,0.8,1.3,0.9,2.2,0.7,1.7,0.1,0.5,0.1,0.7
"19Harry Winks29, DMC","Harry Winks 29, DMC",178,65,19,908,0.2,0.2,-,-,6.43,0.1,-,0.1,-,0.1,-,0.1,0.1,-,-,-,1.6,1.1,28.7,2.9,0.4,0.9,0.3,0.2,0.4,0.1,0.2,0.4,0.3,0.2,0.1,-,-,0.2,0.4,0.4,0.8,0.8,0.3,0.2,0.2,0.8,0.7,1.5,0.7,0.6,-,0.2,0.1,0.6
"20Tanguy Ndombélé28, M(C)","Tanguy Ndombélé 28, M(C)",181,76,9,441,0.8,0.3,-,0.4,6.39,0.7,-,0.1,-,0.1,-,0.3,0.3,-,-,0.1,0.7,0.3,20.7,3.2,-,0.2,-,-,0.1,-,-,0.4,-,-,0.2,-,-,0.2,0.6,0.9,1.4,2.2,2.1,0.2,-,0.9,0.8,1.7,0.8,0.3,-,-,-,0.4
"21Giovani Lo Celso29, M(CR),FW","Giovani Lo Celso 29, M(CR),FW",177,68,9,233,1,0.6,-,0.4,6.3,0.7,-,0.3,-,0.8,0.1,0.1,0.1,-,-,-,0.7,-,13.2,2.8,0.2,0.9,0.6,0.6,0.3,0.1,0.1,0.4,0.2,0.2,-,-,-,0.3,0.7,1,1.7,1.2,0.3,-,0.3,0.9,0.7,1.6,0.7,0.2,0.1,0.1,-,0.6
"22Steven Bergwijn28, AM(CLR),FW","Steven Bergwijn 28, AM(CLR),FW",171,74,25,551,0.8,0.2,-,0.6,6.25,0.6,0.1,-,-,0.2,-,0.4,0.2,-,-,0.1,-,0.1,5.5,1,-,0.3,-,-,-,-,-,0.3,-,-,-,-,-,0.3,0.4,0.4,0.8,1.1,0.6,0.2,0.2,0.1,0.4,0.5,0.4,0.4,-,-,-,0.1
"23Dane Scarlett21, FW","Dane Scarlett 21, FW",180,76,1,3,-,-,-,-,6.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
"24Bryan Gil24, M(CLR)","Bryan Gil 24, M(CLR)",175,60,9,86,0.1,-,-,0.1,6.15,0.1,-,-,-,-,-,0.1,-,-,-,-,-,-,5.2,1,0.2,0.4,-,-,-,-,-,0.2,0.1,-,-,-,-,0.1,0.2,0.4,0.7,0.7,0.2,-,0.1,0.3,0.1,0.4,0.4,0.1,-,-,-,0.2
"25Joe Rodon28, D(C)","Joe Rodon 28, D(C)",193,88,3,87,-,-,-,-,6.09,-,-,-,-,-,-,-,-,-,-,-,1,0.3,8.7,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.7,-,-,-,0.3,-,-,0.3,-,0.3
